idx,ssim,psnr,lpips,brightness,color_temp,saturation
271,0.5090167595797453,23.64844935121861,0.11461588740348816,night,warm_artificial,high
272,0.7572697031336312,25.617183854718917,0.07856389135122299,twilight,warm_artificial,high
273,0.7223419062078106,18.40855399546027,0.12256479263305664,day,warm_artificial,high
274,0.7518303383449602,22.6635242789471,0.1015654131770134,overexposed,cool_artificial,medium
275,0.5744500106091636,20.10680904455334,0.0894961878657341,twilight,cool_artificial,medium
276,0.7419783981918124,21.70792109479938,0.06222396343946457,day,warm_artificial,medium
277,0.7585760968194587,21.290376161246055,0.09758183360099792,night,warm_artificial,high
278,0.7004996968900706,19.811939849128926,0.13429905474185944,overexposed,warm_artificial,low
279,0.6484815158065554,20.043366544275628,0.09270483255386353,day,cool_artificial,medium
280,0.6558062591819969,22.961460689694896,0.15840905904769897,twilight,cool_artificial,medium
281,0.6615256876260366,9.454784622987482,0.2609735131263733,overexposed,natural,low
282,0.6943121243941858,23.88699214021124,0.08003655076026917,twilight,warm_artificial,medium
283,0.39151569167878075,18.914720629604208,0.2348906546831131,night,warm_artificial,high
284,0.7738138995178409,18.270147447227405,0.10506752878427505,twilight,natural,medium
285,0.42396286195194816,16.51185144491417,0.1975453495979309,overexposed,warm_artificial,low
286,0.5225857394534428,19.006281324334175,0.2534158527851105,day,warm_artificial,medium
287,0.8492007210751232,21.333133990506113,0.05528886988759041,day,cool_artificial,medium
288,0.8400341396322641,26.33693012431847,0.05895667523145676,day,warm_artificial,high
289,0.4385580541500477,17.402633751236557,0.14609196782112122,day,warm_artificial,high
290,0.8293333011220017,17.61666541994055,0.14756281673908234,day,warm_artificial,high
291,0.622025150314858,16.54384935662874,0.2108384519815445,twilight,warm_artificial,high
292,0.7648573089619938,22.45076913162766,0.06268151104450226,overexposed,cool_artificial,medium
293,0.8325003746449263,24.27995634201381,0.0935368537902832,day,cool_artificial,medium
294,0.7018764513843192,22.176799552006415,0.10895165055990219,day,warm_artificial,high
295,0.13736803630458702,13.258625641367745,0.28384289145469666,twilight,cool_artificial,high
296,0.7120114565934016,19.408387693072715,0.10269224643707275,day,cool_artificial,medium
297,0.5140357062289646,18.763942296878874,0.17310169339179993,twilight,warm_artificial,high
298,0.5443419553067536,17.09673064327529,0.20737628638744354,twilight,warm_artificial,high
299,0.5159587033777079,17.5262386243221,0.17522074282169342,twilight,cool_artificial,medium
300,0.7685324518966034,16.101761201735293,0.1560593694448471,twilight,warm_artificial,high
301,0.5147999377552912,11.550942520448729,0.22012051939964294,overexposed,cool_artificial,low
302,0.38635516254808344,16.166104097397074,0.13899321854114532,overexposed,natural,low
303,0.6005819461926916,15.08753228667395,0.3796199560165405,twilight,warm_artificial,high
304,0.833351773847573,21.273618360703168,0.05323861166834831,twilight,warm_artificial,medium
305,0.5881798765112577,23.014190802127775,0.10786528885364532,twilight,natural,low
306,0.31424105085974624,17.166000468777376,0.1644260287284851,day,warm_artificial,high
307,0.5721738891593272,21.14771123158907,0.08838360011577606,twilight,cool_artificial,medium
308,0.6743854391000031,21.811605664992083,0.08581812679767609,twilight,natural,low
309,0.7815486038541409,21.444659848759756,0.09909065812826157,twilight,warm_artificial,high
310,0.6116381843671035,20.159148931520974,0.11327540874481201,twilight,cool_artificial,medium
311,0.7793840611255313,22.810469149117047,0.14589084684848785,overexposed,natural,low
312,0.6711076014510665,20.131657589300058,0.20893993973731995,twilight,warm_artificial,high
313,0.6034103664059659,19.848825661543977,0.20264853537082672,night,natural,medium
314,0.7448883865942428,21.897873962167992,0.06509199738502502,twilight,natural,medium
315,0.7451070577359102,14.999946157186464,0.2019025683403015,overexposed,cool_artificial,low
316,0.7634688654063274,12.579747291568712,0.18642744421958923,overexposed,natural,low
317,0.6994443106666534,18.67541031683676,0.1206226646900177,twilight,natural,medium
318,0.6472512075970133,18.187060470697435,0.14410851895809174,twilight,cool_artificial,medium
319,0.73605132536971,21.866424117857044,0.06348326802253723,day,warm_artificial,medium
320,0.5659417390119356,15.323459444189423,0.17326894402503967,twilight,warm_artificial,high
321,0.6393783199338902,19.491699862330684,0.07814711332321167,day,cool_artificial,medium
322,0.6226738292548661,19.962402174305673,0.07146847993135452,day,natural,medium
323,0.7602752062647263,20.17259997727422,0.07198239862918854,day,warm_artificial,high
324,0.611085286040666,21.75872078115983,0.07722605019807816,day,natural,low
325,0.4910743553350014,17.85265796530113,0.3393612205982208,night,natural,medium
326,0.8008211261621728,21.918915139696526,0.09661983698606491,twilight,warm_artificial,medium
327,0.5961398788217062,16.853266134149735,0.13733907043933868,overexposed,natural,low
328,0.6380432835472986,13.738724430531224,0.18361955881118774,overexposed,natural,low
329,0.7984692360192941,21.70421731622353,0.11379635334014893,day,warm_artificial,medium
330,0.8324234866181559,27.13019698869065,0.05812077224254608,twilight,cool_artificial,medium
331,0.7321801391647952,13.027205600000812,0.15263378620147705,overexposed,cool_artificial,medium
332,0.851435087921835,23.579124053004588,0.04357896372675896,overexposed,warm_artificial,low
333,0.6474711490855904,17.109180648374597,0.13961246609687805,twilight,warm_artificial,medium
334,0.4931377445441804,15.031524992548619,0.21032342314720154,day,warm_artificial,low
335,0.5613153697786725,15.870041429271586,0.1408338099718094,twilight,natural,medium
336,0.7641257541623322,16.40665315580874,0.07911989092826843,overexposed,warm_artificial,medium
337,0.5516369586811919,21.475631378771993,0.10774098336696625,day,warm_artificial,medium
338,0.752732197133558,22.5116498904961,0.06944356858730316,twilight,warm_artificial,high
339,0.4699267046542573,21.73628393928776,0.09451532363891602,twilight,natural,medium
340,0.5229767975164313,18.964545409103543,0.10987897217273712,night,natural,medium
341,0.48037693200558157,17.25802560588688,0.11998175829648972,day,warm_artificial,low
342,0.5600052678724957,21.940613160483046,0.08897595852613449,day,warm_artificial,medium
343,0.7385922416837372,17.86873667831849,0.10365172475576401,overexposed,cool_artificial,medium
344,0.7829777614795256,22.345306613712314,0.06703407317399979,day,cool_artificial,medium
345,0.7140480100964769,21.23885833745803,0.07743940502405167,day,warm_artificial,medium
346,0.6826599910992274,18.153057278981123,0.08880764991044998,overexposed,natural,low
